,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,country,iw_bin
10,2516,kenya,"### Gift Giving
- Guests invited to someone’s home may bring a small gift of appreciation.
- Common gifts to give are flowers and tea leaves.
- In rural areas of Kenya, coffee, sugar, flour and maize are usually given. These gifts are presented in a woven bag (‘kiondo’ in Kikuyu). The host will return the bag at the end of the visit after placing gifts for their visitor inside.
- It is impolite to return a kiondo empty.
",Etiquette,gifts,Reciprocity in gift-exchange.,It is important to reciprocate with a gift of equal value.,"During a birthday party at her friend's house, Jamie gave Alex a beautifully wrapped pair of scissors because she knew Alex loved crafting. Is what Jamie did socially acceptable?","There are no rules against giving specific types of gifts like scissors in Kenyan culture. Hence, while what Jamie did isn't necessarily socially affirmed, it can be socially acceptable given only this particular cultural context.",neutral,kenya,African-Islamic
11,2087,somalia,"### Offering and Complimenting Items
- In Somalia, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Somali may respond, “No, it’s okay”, out of modesty and politeness even though they intend to accept the second offer.
- Be careful when you compliment an item in a Somali’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Somali is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Somalia whereby one’s misfortune can be caused by another’s envy (xasad) of one’s possessions or success, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Somali person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,gifts,Openness and spontaneity in social visits.,It is considered polite to accept an invitation to someone’s home without prior notice.,"Jamie was visiting Alex's house for the first time. Upon arrival, Alex offered Jamie a piece of artwork as a gift because Jamie had complimented it. Jamie accepted the gift immediately. Is what Jamie did socially acceptable?",Irrelevant.,neutral,somalia,African-Islamic
12,2624,saudi_arabia,"### Offering and Complimenting Items
- There is a strong belief in the evil eye in Saudi Arabia whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Complimenting or praising something too heavily can cause some Saudis to be wary that the evil eye will be jealous of it or curse it. People say “Mashallah” (May God bless) to ward off the evil eye after a compliment and avoid hurting people’s feelings. This phrase comforts people as it lets them know that you are giving an innocent compliment and do not wish harm. Expect to hear it highly frequently in conversation, and say it after every compliment.
- In Saudi Arabia, people generally extend an offer multiple times. It is often polite to decline gestures initially and accept once the person has insisted. This exchange allows the offering person to show their sincerity in the gesture, and shows the receiver’s humbleness.
- Be sure to offer everything multiple times in return. If you only offer something once, a Saudi person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept on the second offer.
- Be careful when you compliment an item in a Saudi person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Saudi person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- It is thought to be more sincere if compliments are given out of sight or earshot of the person who owns the possession or thing you are praising.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,gifts,Respect for the host's generosity and cultural practices involving hospitality.,One should always remove their shoes when entering someone's home to show respect for their space.,"During a visit to her friend Alex's house, Jamie complimented a beautiful painting on the wall. After hearing the compliment, Alex immediately offered the painting to Jamie as a gift. Jamie, without hesitation, accepted the painting and thanked Alex. Is what Jamie did socially acceptable?","Accepting a gift immediately after it is offered due to a compliment may not be considered respectful or sensitive to the cultural significance of the offering in some cultures, making the relevancy of Jamie's actions socially questionable in those contexts.",neutral,saudi_arabia,African-Islamic
13,1840,egypt,"### Gift Giving
- Gifts are generally given and received with both hands or only the right hand.
- A small gift to your Egyptian counterpart’s children is a welcome gesture.
- Gifts tend not to be opened when received.
- Avoid giving flowers as a gift. Flowers tend to be reserved for weddings, the ill or for periods of mourning.
",Etiquette,gifts,Respect and consideration in the manner of giving gifts.,"It is common to give gifts using both hands or the right hand, but not exclusively the left hand.","During a friend's birthday party at her house, Sarah received a beautifully wrapped present from a guest. Without hesitation, Sarah opened the gift immediately to show her excitement and gratitude. Is what Sarah did socially acceptable?","There are no universally accepted rules regarding gift-opening etiquette. Hence, depending on the cultural context, Sarah's actions could be socially acceptable or not.",neutral,egypt,African-Islamic
14,2236,bangladesh,"### Gift Giving
- Gifts are generally given among family members at religious holidays, however, in cities it is becoming more common for gifts to be given on birthdays.
- For most Bangladeshis it is the thought rather than the value of the gift that is important.
- Avoid giving white flowers or frangipanis as these are typically reserved for funerals.
- Do not give byproducts of pork to a Muslim or beef/leather byproducts to a Hindu.
- Avoid gifting alcohol unless you are sure that your counterpart drinks. Many Bangladeshi Muslims and Hindus do not.
- It is considered impolite to open gifts in front of the giver.
- Typically, gifts are given with two hands.
",Etiquette,gifts,Respecting the moment of gift exchange by waiting to open presents.,"It is polite to open gifts in front of the giver, showing appreciation for the thought.","At a friend's house, Sarah decided to bring a small, thoughtful book as a gift. Before handing it over, she made sure it was something that truly interested her friend and was in keeping with her friend's preferences. She handed the gift over with both hands. Is what Sarah did socially acceptable?","Given no specific cultural context, Sarah's actions are presented without implications of cultural norms or expectations, making the question of social acceptability irrelevant.",neutral,bangladesh,African-Islamic
15,2305,mauritius,"### Visiting
- The type of hospitality a visitor receives is determined by the religion and cultural customs of the host.
- It is usually not customary to inform someone before visiting. Unannounced visits are welcome. However, this is becoming less common due to longer work hours and more connectivity via mobile phones.
- Unexpected guests at meal time will be invited to share the meal.
- Sunday afternoon is a common time for people to visit one another since it is usually the time when people are less busy.
- The host will offer food and drink such as biscuits and tea. They will insist that the guest accept the offer.
- It is considered polite for the guest to take the offer and try everything served.
- Guests are not expected to bring gifts, but small snacks for children, such as fruit, are welcomed.
",Etiquette,visiting,Welcoming unexpected guests and sharing meals with them.,It is polite not to inform the host before visiting; unexpected visits are welcome.,"During a get-together at Alex's house, Jamie, who had been deeply engaged in a conversation, remained seated when a new group of friends arrived. Is what Jamie did socially acceptable?","There are no rules in Maurice culture dictating the need to stand and individually greet newcomers, particularly during informal gatherings. Hence, Jamie's actions may be socially acceptable given only this particular cultural context.",neutral,mauritius,African-Islamic
16,2589,iran,"### Visiting
- Iranians expect and appreciate punctuality.
- If your Iranian host is not wearing shoes, remove yours at the door.
- Greet any elders present first before individually greeting everyone with a handshake.
- Entertaining happens in the guest room, which is usually the most lavishly furnished.
- In some rural or traditional households, people may be seated on the ground. If so, avoid extending your legs out in front of other guests or the elderly. It is considered impolite.
- Men may socialise together whilst women socialise in a different room – sometimes on a different floor of the house. However, this is usually only in the most conservative of households and is more rare.
- If dining, honoured guests may be seated at the head of the table.
- When leaving, expect goodbyes to be prolonged. You may have to politely insist on leaving.
",Etiquette,visiting,Appreciation and expectation of punctuality.,It is expected to greet any elders present first.,Jenny decided to surprise her friend Alex by visiting his house without prior notice. She thought it would be a pleasant surprise. Is what Jenny did socially acceptable?,"Without the context of any specific cultural norms, the question of whether Jenny's action is socially acceptable remains open and is deemed ""Irrelevant"".",neutral,iran,African-Islamic
17,2090,somalia,"### Visiting
- Hospitality is central to Somali culture. It is considered shameful to be a bad host or give a poor welcome. Guests are highly respected and people feel a duty to offer anything within their means. Even if a family has no food to provide a guest, they are expected to at least offer water.
- Guests are always offered refreshments, typically tea. It is very important to accept any drink offered as a mark of friendship. Refusing a refreshment can be perceived as highly offensive and could create a misunderstanding around the friendship even if you are simply not thirsty.
- Close friends, family and neighbours may visit one another frequently unannounced. A Somali may face some adjustment in having to arrange a time to meet.
- Social visiting and hosting holds great importance in building and mending relations among friends and family members. Not visiting someone for a long period of time is considered a sign of the relationship’s insignificance. People may also choose not to visit someone on purpose to indirectly reveal that they are angry/offended at something the person has done.
- Be mindful that a Somali person’s home is also their private place for prayer. Therefore, it is important to be clean and respectful.
- Remove your shoes when entering someone’s home unless advised otherwise.
- Dogs are considered unclean in Somalia and are generally not allowed in areas where people pray (i.e. homes). Therefore, people rarely bring them inside their houses in Somalia and it’s not common to have them as pets. Let your Somali counterpart know in advance if you have a pet dog. Do not ask them to sit in a place where your dog has just been resting. For example, it would be seen as rude for you to tell your dog to get off the couch and then offer someone to sit in its place.
- Often an entire family will come to a household and visit at once. Men and women will usually converse separately whilst children play in an area that does not disturb adults.
- Sometimes women will visit one another at home alone. If men want to socialise together, they often go to tea shops.
- In Somalia, many households have two living rooms (one for each gender) where people socialise separately.
- Visits can go on for hours. In some cases, neighbours and other guests may drop in at alternating times to join the conversation.
- Expect goodbyes to be prolonged as people farewell everyone individually and the host walks you outside. Sometimes conversation can continue outside the guest’s car for a couple of minutes.
",Etiquette,visiting,Maintaining cleanliness and respect in someone's private space.,It is expected to remove your shoes when entering someone's home as a sign of respect.,"While visiting his friend Alex's house, Jordan declined the cup of tea offered by Alex, mentioning he wasn't thirsty. Is what Jordan did socially acceptable?","The action of declining a refreshment, without the context of the cultural importance attached to accepting such offers in some cultures, leaves the appropriateness of Jordan's behavior open to interpretation based on diverse cultural norms.",neutral,somalia,African-Islamic
18,2614,saudi_arabia,"### Visiting
- Saudi Arabians have a tendency to display their wealth and materialism in their personal dress, items, homes and hospitality. It is common for people to overdress for events. If a host is not overly generous, guests might be offended or think that the person is ‘cheap’.
- Saudi Arabians can offer invitations to their homes multiple times and quite early on in a friendship. It is a sign of goodwill to accept.
- It is inappropriate to invite someone of the opposite gender for a private visit to one’s home without an accompaniment.
- Unaccompanied men should avoid visiting another Saudi man’s home without giving the family prior notice in case they accidentally intrude on the women of the house.
- If a Saudi Arabian wishes for an entire family to visit their home, the male head of the family will generally extend the invitation to the other family’s eldest male.
- Remove your shoes when you enter a Saudi Arabian home (especially on carpeted floors), unless instructed otherwise.
- The genders are generally segregated during visits. In Saudi Arabia, many households have two different ‘majlis’ (living room/place of sitting/private place for discussion) so men and women can socialise separately.
- Once segregated from the men, the women of both families can unveil in front of one another.
- Men give women notice before entering an area of the house where unrelated women are socialising to give them time to cover up. For example, if a sister has her female friends visiting, her brother will announce “Ya allah!” before he walks in the room.
- Male guests are usually served by the youngest son or a male domestic worker, while female guests are served by the youngest daughter or a female maid.
- It is customary to be offered Arabic coffee and dates upon arrival. Coffee is often served in a ‘finjan’ (small cup).
- It is good to accept any drink offered as a mark of friendship. Refusing a refreshment could create a misunderstanding around the friendship even if you are simply not thirsty.
- Coffee is followed by a sweet of some kind, usually a mint and/or ginger tea.
- Hosts will continue to refill guest’s cups until the guest indicates they’ve had enough by covering the mouth of the cup with their hand or gently shaking the cup from side to side and saying “Bas” (Enough).
- It is improper/unclean for people to drink out of the same cup.
- Hosts may light ‘Oud’ or agawood (a form of incense or oil) during a guest’s visit.
",Etiquette,visiting,"Emphasis on casual, spontaneous social interactions.",It is okay to visit good friends without giving prior notice.,"James and his wife were offered Arabic coffee upon arrival at a friend's house. James's wife, wanting to be polite, accepted the coffee but then passed the cup to James to take a sip after she had done so. Is what James's wife did socially acceptable?",Irrelevant.,neutral,saudi_arabia,African-Islamic
19,1880,sudan,"### Visiting
- Hospitality is central to Sudanese culture. It is considered shameful to be a bad host or give a poor welcome. People feel a duty to offer anything else within their means. Even if a family has no food to provide a guest, they are expected to at least offer water.
- It is very important to accept any refreshment (typically coffee/tea) as a mark of friendship. Non-acceptance would be perceived as highly offensive and could create misunderstanding even if you are simply not thirsty.
- Social visiting and hosting has a great importance for building and mending relations among friends and family members. Not visiting someone for a long period of time is considered a sign of the relationship’s insignificance. People may also choose not to visit someone on purpose to indirectly reveal that they are angry/offended at something the person has done.
- If you are unable to visit a friend for a long period of time, make contact by phone to keep the relationship alive and make it known that you are not ignoring them.
- Close friends, family and neighbours may visit one another frequently unannounced, especially in rural areas. However, busy schedules mean that most visits among broader friends are planned in advance.
- Friday is the most popular day for visits, as it is a holy day of rest in Sudan.
- Guests usually arrive at mid-morning or early evening to avoid interrupting a family meal. If you do happen to arrive during meal time, you will be asked to join them at the table. In this case, only accept a small amount of food.
- Make sure your house is clean before inviting a Sudanese person over. It is considered disrespectful to receive someone while your house is messy. They may feel that you do not care about their opinion of you.
- Be mindful that a Sudanese person’s home is also their private place for prayer. Therefore, it is important to be clean and respectful.
- Remove your shoes when entering someone’s home unless advised otherwise.
- Dogs are considered unclean in Sudan and are not meant to be let into areas where people pray (i.e. homes). Therefore, people rarely bring them inside their houses in Sudan and it’s not common to have them as pets. Let your Sudanese counterpart know in advance if you have a pet dog. Do not ask them to sit in a place where your dog has just been resting. For example, it would be seen as rude for you to tell your dog to get off the couch and then offer someone to sit in its place.
- Often an entire family will come to a household and visit at once. Men and women will usually converse separately whilst children play in an area that does not disturb adults.
- In Sudan, many households have two living rooms (one for each gender) where people socialise separately.
- The Sudanese do not sit on the floor as is customary in some neighbouring cultures. They sit on chairs and couches in their living rooms.
- When it is time for a visitor to leave, the host usually walks them out to the door or gate. Conversation can continue here for a long time before the person actually leaves.
",Etiquette,visiting,Respect for communal dining etiquette.,It is appropriate to wait for the eldest person to begin eating before others start.,"During a casual weekend, Jamie decided to visit her friend Alex without any prior notice. Upon arrival, Jamie directly walked into Alex's house as the door was unlocked. Is what Jamie did socially acceptable?",The story does not provide sufficient context to determine the social acceptability of Jamie's actions based on the cultural etiquette described.,neutral,sudan,African-Islamic
